,,Algeria,Timimoun Basin,Teguentour 14,TEG-14,,"Teguentour / 344,345",Teguentour (ISG),,Devonian
,,Algeria,Timimoun Basin,Teguentour 15,TEG-15,,"Teguentour / 344,345",Teguentour (ISG),,Devonian
,,Algeria,Timimoun Basin,Teguentour 15Y,TEG-15Y,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 16Y,TEG-16Y,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 17,TEG-17,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 18,TEG-18,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 20,TEG-20,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 21,TEG-21,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 22,TEG-22,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 23,TEG-23,,,Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 24,TEG-24,,,Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 25,TEG-25,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 26,TEG-26,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 27,TEG-27,,"Teguentour / 344, 345",Teguentour (ISG),,
,,Algeria,Timimoun Basin,Teguentour 29,TEG-29,,,Teguentour (ISG),,
,,Algeria,Illizi Basin,Tiguentourine 002bis,TG-2bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 004bis,TG-4bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 007bis,TG-7bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 082,TG-82,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 303,TG-303,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 303bis,TG-303bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 305bis,TG-305bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 306bis,TG-306bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 308,TG-308,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 312bis,TG-312bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 315bis,TG-315bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 317bis,TG-317bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 319bis,TG-319bis,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 323,TG-323,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 324,TG-324,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 326,TG-326,,,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 327,TG-327,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 328,TG-328,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 328ST1,TG-328ST1,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 329,TG-329,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 330,TG-330,,,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 333,TG-333,,,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 336,TG-336,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 337,TG-337,,Tiguentourine-In Amenas,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tiguentourine 338,TG-338,,,Tiguentourine (In Amenas),,
,,Algeria,Illizi Basin,Tihigaline Ordovicien 1,TXO-1,,"Bourarhet Sud / 230, 231",Tihigaline F-1,,Ordovician
,,Algeria,Illizi Basin,Tikrabkrabe 1,TKR-1,,,,,Cambrian
,,Algeria,Illizi Basin,Tin Zaouatene 1,TZN-1,,"Bourarhet Sud / 230, 231",Tin Zaouatene 1,,Ordovician
,,Algeria,Illizi Basin,Tin Zaouatene 2,TZN-2,,"Bourarhet Sud / 230, 231",Tin Zaouatene 1,,
,,Algeria,Touggourt Uplift,Touggourt 101,TOG-101,,,,Miribel Sandstone Member,Ordovician
,,Egypt,Gulf of Suez Basin,Abu Raya 2,Gb087-06,,,,Nubia Group,Paleozoic
,,Egypt,Gulf of Suez Basin,Abu Zeneima 11 1,Gj081-05,,Abu Zeneima,,,
,,Egypt,Gulf of Suez Basin,Abu Zeneima 11 1ST,Gj081-05ST,,Abu Zeneima,,,Oligocene
,,Egypt,Gulf of Suez Basin,Abu Zeneima South 175-1ST,,,South Abu Zeneima,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Alexandria North B 2,Giza West-1,,N. Alexandria-2 Area B (Dev),,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Alexandria North B 3,,,N. Alexandria-2 Area B-1 (Dev),,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Alexandria North B 4ST1,Jf048-01,,N. Alexandria-2 Area B-1 (Dev),Alexandria North B-4ST,Abu Madi Formation,Messinian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Alexandria North L 2,,,N. Alexandria-2 Area B (Dev),Fayoum (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Atoll 1,,,N. Damietta Offshore Block-3a,Atoll,,Oligocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Atoll 2,,,Atoll (Dev),Atoll,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Aztec 1,Ji050-01,,West Mediterranean Deep Water (Block B),,Kafr El Sheikh Formation,Pliocene
,,Egypt,Gulf of Suez Basin,Ga089 1,Ga089-01,,,,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Gebel El Bahar East 1,,GEB East 1,N. Tineh Offshore Block-2,,,Serravallian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Giza North 1,Jh049-04,,N. Alexandria-2 Area B-1 (Dev),Giza (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Giza South 1,Jg049-03,,N. Alexandria-2 Area B (Dev),,,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Heba Offshore 1,,,Rahamat (Dev),,Kafr El Sheikh Formation,Piacenzian
,,Egypt,Gulf of Suez Basin,Karnak (BP) 1,,GS 326-3,East Morgan Area A,,Nubia Formation,Albian
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Libra 1,Jj052-01,K-1,North Alexandria Block A,Libra (WND),Kafr El Sheikh Formation,Pliocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Libra North 1ST1,,,N. Alexandria-1 Area A-1 (Dev),Libra (WND),,
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Libra North 2,Jj052-05,,N. Alexandria-1 Area A-1 (Dev),Libra (WND),,Pliocene
,,Egypt,Nile Coastal/Deep Water Sub-basin (Nile Delta Bsn),Libra North 4,Jj052-04,,N. Alexandria-1 Area A-1 (Dev),Libra (WND),,Pliocene
